1	смотрите	смотреть	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@dg1985-words#0.0#0.331
2	а	а	CCONJ	_	_	_	_	_	@dg1985-words#0.331#0.662
3	как	как	ADV	_	Degree=Pos	_	_	_	@dg1985-words#0.662#0.993
4	вот	вот	PART	_	_	_	_	_	@dg1985-words#0.993#1.324
5	/	/	PUNCT	_	_	_	_	_	@dg1985-words#1.324#1.655
6	ээ	ээ	INTJ	_	_	_	_	_	@dg1985-words#1.655#1.986
7	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@dg1985-words#1.986#2.317
8	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@dg1985-words#2.317#2.648
9	все	все	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@dg1985-words#2.648#2.979
10	знаете	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dg1985-words#2.979#3.31
11	/	/	PUNCT	_	_	_	_	_	@dg1985-words#3.31#3.641
12	в	в	ADP	_	_	_	_	_	@dg1985-words#3.641#3.972
13	выходные	выходной	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@dg1985-words#3.972#4.303
14	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dg1985-words#4.303#4.634
15	в	в	ADP	_	_	_	_	_	@dg1985-words#4.634#4.965
16	Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@dg1985-words#4.965#5.296
17	все	все	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@dg1985-words#5.296#5.627
18	восхищаюсь	восхищаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@dg1985-words#5.627#5.958
19	нашей	наш	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	@dg1985-words#5.958#6.289
20	столицей	столица	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@dg1985-words#6.289#6.62
21	как	как	SCONJ	_	_	_	_	_	@dg1985-words#6.62#6.951
